counts,number of items in equivalence class,isoforms in equivalence class
728,2,"ENST00000039989,ENST00000299240"
728,2,"ENST00000399302,ENST00000650167"
725,4,"ENST00000308783,ENST00000398645,ENST00000529006,ENST00000530342"
725,2,"ENST00000614944,ENST00000621676"
723,1,ENST00000530721
721,1,ENST00000260270
720,3,"ENST00000356404,ENST00000436757,ENST00000534749"
720,4,"ENST00000278671,ENST00000535872,ENST00000538404,ENST00000544594"
718,2,"ENST00000278823,ENST00000524902"
717,1,ENST00000300151
717,14,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525690,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528439,ENST00000530170,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
715,6,"ENST00000378852,ENST00000420461,ENST00000455725,ENST00000526394,ENST00000531273,ENST00000534600"
715,4,"ENST00000305218,ENST00000358794,ENST00000538945,ENST00000543847"
712,4,"ENST00000227157,ENST00000396222,ENST00000422447,ENST00000540430"
711,3,"ENST00000300688,ENST00000529790,ENST00000688882"
704,7,"ENST00000260045,ENST00000682046,ENST00000682527,ENST00000682978,ENST00000683600,ENST00000684059,ENST00000684702"
703,1,ENST00000534355
701,1,ENST00000278618
699,2,"ENST00000251968,ENST00000536719"
699,4,"ENST00000298852,ENST00000530912,ENST00000602866,ENST00000619920"
697,1,ENST00000318950
697,1,ENST00000304271
696,1,ENST00000332826
691,1,ENST00000263579
687,3,"ENST00000426335,ENST00000524782,ENST00000627920"
686,2,"ENST00000310137,ENST00000393979"
686,11,"ENST00000339995,ENST00000396525,ENST00000524932,ENST00000525681,ENST00000526148,ENST00000527526,ENST00000530211,ENST00000531416,ENST00000531647,ENST00000532082,ENST00000532570"
685,4,"ENST00000334205,ENST00000528057,ENST00000528355,ENST00000530504"
683,6,"ENST00000300738,ENST00000528442,ENST00000532170,ENST00000533349,ENST00000533495,ENST00000534285"
681,7,"ENST00000334211,ENST00000359373,ENST00000393605,ENST00000393609,ENST00000426523,ENST00000429686,ENST00000455638"
676,4,"ENST00000312989,ENST00000376745,ENST00000527663,ENST00000679175"
675,3,"ENST00000325486,ENST00000325542,ENST00000541150"
674,7,"ENST00000322776,ENST00000415352,ENST00000527355,ENST00000529927,ENST00000532303,ENST00000533919,ENST00000647561"
674,2,"ENST00000264028,ENST00000359415"
672,2,"ENST00000310473,ENST00000663595"
670,2,"ENST00000294304,ENST00000529993"
670,2,"ENST00000064780,ENST00000393580"
668,6,"ENST00000320631,ENST00000359393,ENST00000421510,ENST00000433803,ENST00000455148,ENST00000621096"
667,1,ENST00000532090
667,3,"ENST00000398645,ENST00000529006,ENST00000530342"
667,1,ENST00000279281
666,2,"ENST00000323959,ENST00000524827"
665,2,"ENST00000263645,ENST00000526072"
663,3,"ENST00000227322,ENST00000429220,ENST00000444935"
662,5,"ENST00000380034,ENST00000396847,ENST00000433961,ENST00000682968,ENST00000684655"
661,5,"ENST00000339997,ENST00000341307,ENST00000356000,ENST00000377819,ENST00000537981"
661,4,"ENST00000358965,ENST00000393695,ENST00000541584,ENST00000620566"
660,2,"ENST00000305885,ENST00000535723"
658,3,"ENST00000279259,ENST00000434372,ENST00000529639"
658,2,"ENST00000301488,ENST00000531178"
653,7,"ENST00000312419,ENST00000529704,ENST00000530584,ENST00000531239,ENST00000532830,ENST00000539074,ENST00000543494"
652,3,"ENST00000438576,ENST00000449692,ENST00000530188"
650,6,"ENST00000322776,ENST00000415352,ENST00000527355,ENST00000529927,ENST00000532303,ENST00000647561"
648,2,"ENST00000298281,ENST00000690938"
647,4,"ENST00000309100,ENST00000524848,ENST00000530153,ENST00000532507"
641,6,"ENST00000531329,ENST00000533626,ENST00000651655,ENST00000677121,ENST00000678132,ENST00000678993"
640,2,"ENST00000300151,ENST00000534340"
639,3,"ENST00000358965,ENST00000393695,ENST00000620566"
636,2,"ENST00000395290,ENST00000687097"
636,4,"ENST00000294066,ENST00000377350,ENST00000433890,ENST00000435926"
636,12,"ENST00000328221,ENST00000399815,ENST00000408968,ENST00000528780,ENST00000679380,ENST00000679765,ENST00000680588,ENST00000680696,ENST00000680938,ENST00000681180,ENST00000681577,ENST00000681938"
633,17,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000545215,ENST00000545467"
632,4,"ENST00000319397,ENST00000392668,ENST00000526145,ENST00000531611"
630,3,"ENST00000278616,ENST00000452508,ENST00000675843"
626,6,"ENST00000263398,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000525469"
625,4,"ENST00000453788,ENST00000525463,ENST00000533540,ENST00000534624"
620,5,"ENST00000395850,ENST00000642928,ENST00000651485,ENST00000651785,ENST00000652678"
618,2,"ENST00000317568,ENST00000355991"
615,12,"ENST00000322776,ENST00000415352,ENST00000528314,ENST00000529867,ENST00000529927,ENST00000530103,ENST00000530638,ENST00000532244,ENST00000532303,ENST00000532343,ENST00000533075,ENST00000647561"
615,3,"ENST00000279227,ENST00000345728,ENST00000544997"
614,6,"ENST00000334211,ENST00000359373,ENST00000393605,ENST00000393609,ENST00000426523,ENST00000429686"
613,4,"ENST00000379965,ENST00000414641,ENST00000414897,ENST00000425490"
612,6,"ENST00000324932,ENST00000355260,ENST00000359171,ENST00000397004,ENST00000397007,ENST00000650171"
609,6,"ENST00000339995,ENST00000396525,ENST00000525681,ENST00000526148,ENST00000531416,ENST00000532082"
606,6,"ENST00000320631,ENST00000359393,ENST00000411683,ENST00000433803,ENST00000457202,ENST00000621096"
605,1,ENST00000688882
602,3,"ENST00000308162,ENST00000525451,ENST00000527344"
602,6,"ENST00000314138,ENST00000525981,ENST00000526562,ENST00000530022,ENST00000531978,ENST00000532359"
601,5,"ENST00000300688,ENST00000529790,ENST00000533172,ENST00000688882,ENST00000689460"
601,6,"ENST00000322535,ENST00000524475,ENST00000524627,ENST00000528302,ENST00000530322,ENST00000533595"
601,5,"ENST00000308639,ENST00000406246,ENST00000525693,ENST00000526283,ENST00000612991"
600,5,"ENST00000312515,ENST00000376991,ENST00000525501,ENST00000527119,ENST00000532933"
598,4,"ENST00000298281,ENST00000530304,ENST00000530660,ENST00000690938"
598,4,"ENST00000354588,ENST00000431002,ENST00000524958,ENST00000532208"
594,2,"ENST00000287169,ENST00000527985"
594,9,"ENST00000322536,ENST00000526794,ENST00000648124,ENST00000686283,ENST00000686617,ENST00000687072,ENST00000688583,ENST00000688976,ENST00000690021"
593,2,"ENST00000300688,ENST00000689460"
591,2,"ENST00000320580,ENST00000529757"
591,3,"ENST00000263672,ENST00000526883,ENST00000532972"
588,1,ENST00000301838
587,1,ENST00000282032
586,5,"ENST00000358965,ENST00000393695,ENST00000537217,ENST00000542977,ENST00000620566"
586,3,"ENST00000319006,ENST00000528097,ENST00000530440"
586,3,"ENST00000378460,ENST00000528071,ENST00000530326"
586,4,"ENST00000323213,ENST00000531120,ENST00000532444,ENST00000533439"
584,3,"ENST00000263464,ENST00000532808,ENST00000615299"
584,2,"ENST00000263674,ENST00000643371"
581,2,"ENST00000227451,ENST00000532982"
578,3,"ENST00000354852,ENST00000429814,ENST00000514226"
576,6,"ENST00000352187,ENST00000395123,ENST00000395124,ENST00000529554,ENST00000530005,ENST00000533524"
576,5,"ENST00000278856,ENST00000311713,ENST00000525239,ENST00000525752,ENST00000529106"
575,2,"ENST00000278412,ENST00000526696"
572,42,"ENST00000358694,ENST00000361332,ENST00000361391,ENST00000361796,ENST00000399050,ENST00000415361,ENST00000426142,ENST00000428599,ENST00000524630,ENST00000525902,ENST00000526357,ENST00000526772,ENST00000526938,ENST00000527467,ENST00000528232,ENST00000528621,ENST00000529526,ENST00000529873,ENST00000529919,ENST00000529986,ENST00000530094,ENST00000530748,ENST00000531007,ENST00000531014,ENST00000532245,ENST00000532463,ENST00000532649,ENST00000532787,ENST00000532844,ENST00000533667,ENST00000534579,ENST00000673683,ENST00000673781,ENST00000673810,ENST00000673826,ENST00000674015,ENST00000674060,ENST00000674106,ENST00000674116,ENST00000682621,ENST00000683201,ENST00000683769"
572,2,"ENST00000524717,ENST00000618849"
570,4,"ENST00000263398,ENST00000425428,ENST00000428726,ENST00000433892"
570,6,"ENST00000351960,ENST00000358965,ENST00000393695,ENST00000541584,ENST00000613205,ENST00000620566"
569,1,ENST00000263681
565,2,"ENST00000265462,ENST00000352435"
564,3,"ENST00000642928,ENST00000651785,ENST00000652678"
563,2,"ENST00000278193,ENST00000524596"
563,19,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215,ENST00000545467,ENST00000625635"
561,1,ENST00000524717
561,6,"ENST00000381514,ENST00000381519,ENST00000397294,ENST00000397297,ENST00000397298,ENST00000429295"
561,1,ENST00000294064
560,3,"ENST00000300738,ENST00000532170,ENST00000533349"
558,8,"ENST00000389506,ENST00000534358,ENST00000649699,ENST00000649878,ENST00000685397,ENST00000686370,ENST00000689424,ENST00000691053"
557,1,ENST00000336615
556,3,"ENST00000308783,ENST00000398645,ENST00000529006"
553,2,"ENST00000298317,ENST00000533628"
553,1,ENST00000314138
548,5,"ENST00000524711,ENST00000524896,ENST00000525782,ENST00000526267,ENST00000531120"
547,8,"ENST00000263645,ENST00000381036,ENST00000464784,ENST00000481687,ENST00000492252,ENST00000492627,ENST00000526072,ENST00000527343"
545,6,"ENST00000263360,ENST00000327320,ENST00000351625,ENST00000528180,ENST00000672825,ENST00000673233"
545,8,"ENST00000310513,ENST00000358597,ENST00000361904,ENST00000395290,ENST00000395292,ENST00000531165,ENST00000532048,ENST00000687097"
544,3,"ENST00000320934,ENST00000524507,ENST00000676339"
544,3,"ENST00000325207,ENST00000526104,ENST00000527696"
543,1,ENST00000278935
540,3,"ENST00000264027,ENST00000392789,ENST00000534230"
538,4,"ENST00000322535,ENST00000528302,ENST00000530322,ENST00000533595"
537,2,"ENST00000378460,ENST00000530326"
536,2,"ENST00000308440,ENST00000511455"
535,2,"ENST00000526562,ENST00000530913"
535,6,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000675595,ENST00000675843,ENST00000684037"
534,3,"ENST00000278422,ENST00000378312,ENST00000529403"
534,4,"ENST00000305218,ENST00000358794,ENST00000538945,ENST00000540887"
531,2,"ENST00000279242,ENST00000526319"
528,6,"ENST00000375549,ENST00000525291,ENST00000526592,ENST00000528048,ENST00000528182,ENST00000530923"
527,1,ENST00000527614
526,7,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000532544"
525,4,"ENST00000300738,ENST00000532170,ENST00000533349,ENST00000533495"
522,9,"ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000433274,ENST00000448404,ENST00000486867,ENST00000681407"
521,1,ENST00000260227
521,4,"ENST00000323929,ENST00000323977,ENST00000393241,ENST00000407439"
518,1,ENST00000332349
516,5,"ENST00000378852,ENST00000420461,ENST00000455725,ENST00000531273,ENST00000534600"
515,4,"ENST00000389506,ENST00000534358,ENST00000686588,ENST00000691053"
514,4,"ENST00000263672,ENST00000526361,ENST00000530257,ENST00000532972"
509,2,"ENST00000393094,ENST00000531427"
509,11,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
506,6,"ENST00000352303,ENST00000382671,ENST00000431206,ENST00000525665,ENST00000526783,ENST00000532097"
503,3,"ENST00000395290,ENST00000531165,ENST00000687097"
503,5,"ENST00000323213,ENST00000531120,ENST00000531921,ENST00000532444,ENST00000533439"
503,4,"ENST00000398603,ENST00000398606,ENST00000498765,ENST00000646888"
502,2,"ENST00000399351,ENST00000446113"
500,10,"ENST00000227157,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000536528,ENST00000539814,ENST00000541097,ENST00000543695,ENST00000545215,ENST00000545467"
499,19,"ENST00000313010,ENST00000393399,ENST00000528082,ENST00000531801,ENST00000532809,ENST00000534264,ENST00000679387,ENST00000679623,ENST00000679809,ENST00000680040,ENST00000680186,ENST00000680437,ENST00000680524,ENST00000680566,ENST00000681322,ENST00000681432,ENST00000681592,ENST00000681637,ENST00000681883"
496,5,"ENST00000310092,ENST00000408993,ENST00000409406,ENST00000412278,ENST00000421355"
495,6,"ENST00000300688,ENST00000529790,ENST00000649464,ENST00000688882,ENST00000689460,ENST00000690793"
492,3,"ENST00000319397,ENST00000392668,ENST00000535549"
492,9,"ENST00000311027,ENST00000342922,ENST00000349238,ENST00000395336,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482,ENST00000407859"
491,1,ENST00000377793
490,8,"ENST00000298852,ENST00000524447,ENST00000530651,ENST00000530887,ENST00000530912,ENST00000531051,ENST00000602866,ENST00000619920"
488,4,"ENST00000378460,ENST00000528071,ENST00000528501,ENST00000530326"
486,4,"ENST00000246747,ENST00000301886,ENST00000529384,ENST00000533729"
485,6,"ENST00000339997,ENST00000341307,ENST00000354497,ENST00000356000,ENST00000377819,ENST00000537981"
485,4,"ENST00000355693,ENST00000537289,ENST00000541455,ENST00000545127"
485,9,"ENST00000298852,ENST00000524447,ENST00000526993,ENST00000527906,ENST00000530651,ENST00000530887,ENST00000531051,ENST00000602866,ENST00000619920"
484,9,"ENST00000355527,ENST00000407721,ENST00000525346,ENST00000526780,ENST00000682708,ENST00000683287,ENST00000683714,ENST00000685320,ENST00000690257"
483,7,"ENST00000310092,ENST00000398692,ENST00000408993,ENST00000409406,ENST00000412278,ENST00000500635,ENST00000530235"
483,2,"ENST00000486690,ENST00000545215"
482,7,"ENST00000352187,ENST00000395123,ENST00000395124,ENST00000525205,ENST00000529554,ENST00000530005,ENST00000533524"
482,6,"ENST00000341394,ENST00000389645,ENST00000529307,ENST00000530820,ENST00000532820,ENST00000534825"
482,5,"ENST00000294066,ENST00000377350,ENST00000424945,ENST00000433890,ENST00000435926"
482,10,"ENST00000312049,ENST00000315422,ENST00000377313,ENST00000377316,ENST00000377321,ENST00000377326,ENST00000394376,ENST00000440873,ENST00000450708,ENST00000672304"
481,3,"ENST00000227471,ENST00000524455,ENST00000528423"
481,1,ENST00000265465
480,3,"ENST00000256996,ENST00000378601,ENST00000617847"
480,2,"ENST00000396394,ENST00000530457"
479,1,ENST00000327470
478,2,"ENST00000527673,ENST00000527791"
478,2,"ENST00000264033,ENST00000634840"
476,3,"ENST00000357899,ENST00000525842,ENST00000527478"
476,3,"ENST00000317568,ENST00000355991,ENST00000416776"
476,1,ENST00000530167
476,2,"ENST00000525071,ENST00000525815"
475,3,"ENST00000252108,ENST00000431736,ENST00000545354"
475,6,"ENST00000314845,ENST00000458649,ENST00000528950,ENST00000533727,ENST00000534300,ENST00000683756"
472,41,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
469,2,"ENST00000317829,ENST00000433060"
468,3,"ENST00000309134,ENST00000525069,ENST00000534025"
466,9,"ENST00000334211,ENST00000359373,ENST00000393605,ENST00000393609,ENST00000426523,ENST00000427971,ENST00000429686,ENST00000452383,ENST00000455638"
462,3,"ENST00000227155,ENST00000342935,ENST00000530601"
461,3,"ENST00000265686,ENST00000528981,ENST00000532635"
461,4,"ENST00000323213,ENST00000524896,ENST00000526267,ENST00000531120"
456,3,"ENST00000388857,ENST00000528798,ENST00000534355"
456,3,"ENST00000257245,ENST00000525158,ENST00000525587"
456,1,ENST00000254616
454,4,"ENST00000301788,ENST00000524819,ENST00000525455,ENST00000531944"
454,5,"ENST00000428192,ENST00000538426,ENST00000541478,ENST00000543004,ENST00000543988"
452,6,"ENST00000330243,ENST00000348655,ENST00000397566,ENST00000397570,ENST00000525445,ENST00000528413"
452,5,"ENST00000263309,ENST00000525064,ENST00000525428,ENST00000526009,ENST00000532069"
451,5,"ENST00000324932,ENST00000355260,ENST00000359171,ENST00000429801,ENST00000650171"
451,3,"ENST00000379965,ENST00000414897,ENST00000454828"
450,3,"ENST00000312629,ENST00000525996,ENST00000528964"
450,5,"ENST00000338369,ENST00000357519,ENST00000532229,ENST00000533037,ENST00000533045"
450,2,"ENST00000241052,ENST00000650153"
449,3,"ENST00000527633,ENST00000533486,ENST00000612684"
448,4,"ENST00000310473,ENST00000536983,ENST00000545212,ENST00000663595"
448,3,"ENST00000301897,ENST00000356786,ENST00000359902"
447,6,"ENST00000249923,ENST00000439561,ENST00000529866,ENST00000534234,ENST00000534771,ENST00000555531"
447,1,ENST00000301919
445,3,"ENST00000316059,ENST00000389919,ENST00000422974"
444,8,"ENST00000263398,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000525469,ENST00000526669"
442,7,"ENST00000531572,ENST00000533626,ENST00000640290,ENST00000651655,ENST00000677121,ENST00000678132,ENST00000678993"
440,48,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
438,2,"ENST00000392708,ENST00000649491"
438,5,"ENST00000334211,ENST00000359373,ENST00000393605,ENST00000393609,ENST00000455638"
437,6,"ENST00000352187,ENST00000395123,ENST00000395124,ENST00000525205,ENST00000529554,ENST00000533524"
436,1,ENST00000375549
436,5,"ENST00000298852,ENST00000524447,ENST00000530912,ENST00000602866,ENST00000619920"
434,4,"ENST00000264033,ENST00000634586,ENST00000634840,ENST00000637974"
434,12,"ENST00000330243,ENST00000348655,ENST00000397566,ENST00000397570,ENST00000469048,ENST00000525445,ENST00000532326,ENST00000532788,ENST00000533182,ENST00000533190,ENST00000647801,ENST00000649187"
434,4,"ENST00000392668,ENST00000526145,ENST00000531611,ENST00000535549"
433,1,ENST00000308488
433,5,"ENST00000352303,ENST00000382671,ENST00000431206,ENST00000525665,ENST00000532097"
429,3,"ENST00000278483,ENST00000528004,ENST00000533986"
429,1,ENST00000329957
