counts,number of items in equivalence class,isoforms in equivalence class
975,7,"ENST00000278845,ENST00000394773,ENST00000394776,ENST00000494176,ENST00000494448,ENST00000529309,ENST00000531557"
975,2,"ENST00000064778,ENST00000356467"
970,6,"ENST00000312419,ENST00000529704,ENST00000530584,ENST00000531239,ENST00000532830,ENST00000543494"
965,7,"ENST00000273550,ENST00000526640,ENST00000529191,ENST00000529631,ENST00000530019,ENST00000532829,ENST00000534180"
959,5,"ENST00000294119,ENST00000301935,ENST00000529640,ENST00000534176,ENST00000616865"
947,13,"ENST00000227378,ENST00000453788,ENST00000524590,ENST00000525463,ENST00000525624,ENST00000526110,ENST00000527387,ENST00000530391,ENST00000532182,ENST00000532636,ENST00000533540,ENST00000534567,ENST00000534624"
943,5,"ENST00000278224,ENST00000380525,ENST00000397111,ENST00000529772,ENST00000531387"
940,4,"ENST00000257261,ENST00000278840,ENST00000521849,ENST00000522056"
929,3,"ENST00000227524,ENST00000541371,ENST00000546152"
926,1,ENST00000265909
925,3,"ENST00000303296,ENST00000379016,ENST00000456517"
924,3,"ENST00000278590,ENST00000453089,ENST00000528673"
923,1,ENST00000287169
922,9,"ENST00000227157,ENST00000379412,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000545215"
921,2,"ENST00000278927,ENST00000417453"
915,8,"ENST00000422465,ENST00000525690,ENST00000526248,ENST00000528439,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
910,18,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215,ENST00000545467"
898,1,ENST00000263774
897,5,"ENST00000279259,ENST00000525297,ENST00000527548,ENST00000529639,ENST00000531743"
892,14,"ENST00000278572,ENST00000524851,ENST00000525933,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000532872,ENST00000534440"
880,1,ENST00000311956
878,3,"ENST00000339865,ENST00000399455,ENST00000527733"
876,4,"ENST00000308162,ENST00000525451,ENST00000527344,ENST00000531407"
875,3,"ENST00000352187,ENST00000395123,ENST00000395124"
873,1,ENST00000304987
872,4,"ENST00000612687,ENST00000614711,ENST00000617285,ENST00000652093"
871,3,"ENST00000380542,ENST00000526115,ENST00000620138"
871,1,ENST00000254436
871,2,"ENST00000398645,ENST00000529006"
866,6,"ENST00000227378,ENST00000526110,ENST00000532636,ENST00000533540,ENST00000534319,ENST00000534624"
863,6,"ENST00000312419,ENST00000529704,ENST00000530584,ENST00000532830,ENST00000539074,ENST00000543494"
858,3,"ENST00000257261,ENST00000278840,ENST00000522056"
854,4,"ENST00000303296,ENST00000379016,ENST00000456517,ENST00000525975"
851,4,"ENST00000345732,ENST00000389939,ENST00000534668,ENST00000674194"
842,7,"ENST00000379412,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000545215"
841,7,"ENST00000352303,ENST00000382671,ENST00000431206,ENST00000525665,ENST00000526783,ENST00000528906,ENST00000532097"
841,1,ENST00000311413
841,2,"ENST00000356786,ENST00000359902"
838,1,ENST00000241052
836,2,"ENST00000393150,ENST00000444739"
835,4,"ENST00000287156,ENST00000340573,ENST00000526659,ENST00000527022"
835,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545467"
827,4,"ENST00000343597,ENST00000411426,ENST00000529618,ENST00000620384"
826,14,"ENST00000227378,ENST00000453788,ENST00000524590,ENST00000525463,ENST00000525624,ENST00000526110,ENST00000527387,ENST00000528292,ENST00000530391,ENST00000532182,ENST00000532636,ENST00000533540,ENST00000534567,ENST00000534624"
825,3,"ENST00000300737,ENST00000526596,ENST00000616714"
824,4,"ENST00000252268,ENST00000415073,ENST00000528416,ENST00000531989"
814,4,"ENST00000312989,ENST00000358239,ENST00000376745,ENST00000679175"
807,3,"ENST00000308162,ENST00000525451,ENST00000526975"
801,1,ENST00000278612
797,2,"ENST00000265970,ENST00000691414"
795,2,"ENST00000534358,ENST00000686588"
795,1,ENST00000587424
792,11,"ENST00000227266,ENST00000676612,ENST00000677208,ENST00000677661,ENST00000677802,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678915,ENST00000679224"
788,4,"ENST00000260197,ENST00000525532,ENST00000532694,ENST00000534286"
786,3,"ENST00000356641,ENST00000397843,ENST00000532993"
785,6,"ENST00000322776,ENST00000415352,ENST00000529927,ENST00000532303,ENST00000533919,ENST00000647561"
783,4,"ENST00000294119,ENST00000301935,ENST00000529640,ENST00000534176"
782,2,"ENST00000305885,ENST00000535307"
780,6,"ENST00000270176,ENST00000420247,ENST00000524944,ENST00000525364,ENST00000527009,ENST00000533862"
777,3,"ENST00000309318,ENST00000392210,ENST00000542235"
777,1,ENST00000294244
773,4,"ENST00000312390,ENST00000526387,ENST00000529635,ENST00000542590"
765,7,"ENST00000531329,ENST00000531572,ENST00000533626,ENST00000640290,ENST00000651655,ENST00000678132,ENST00000678993"
762,2,"ENST00000413761,ENST00000432999"
760,6,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430"
759,10,"ENST00000354420,ENST00000356187,ENST00000397604,ENST00000397614,ENST00000397615,ENST00000438658,ENST00000525701,ENST00000529768,ENST00000533410,ENST00000534797"
755,2,"ENST00000356341,ENST00000530617"
755,1,ENST00000534440
754,3,"ENST00000257829,ENST00000527971,ENST00000531159"
754,3,"ENST00000395074,ENST00000528954,ENST00000530561"
752,13,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000495052,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000545467"
752,5,"ENST00000300737,ENST00000526596,ENST00000527651,ENST00000533977,ENST00000616714"
748,23,"ENST00000338663,ENST00000377889,ENST00000377890,ENST00000377891,ENST00000535296,ENST00000536981,ENST00000538084,ENST00000539891,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680002,ENST00000680134,ENST00000680297,ENST00000680610,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681107,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
742,1,ENST00000330574
741,1,ENST00000275517
739,6,"ENST00000257261,ENST00000278840,ENST00000517312,ENST00000518606,ENST00000521849,ENST00000522056"
735,8,"ENST00000273550,ENST00000526640,ENST00000529191,ENST00000529548,ENST00000529631,ENST00000530019,ENST00000532829,ENST00000534180"
732,9,"ENST00000361723,ENST00000420244,ENST00000528737,ENST00000531147,ENST00000533703,ENST00000674617,ENST00000675163,ENST00000676340,ENST00000676459"
731,41,"ENST00000358694,ENST00000361332,ENST00000361391,ENST00000361796,ENST00000399050,ENST00000415361,ENST00000426142,ENST00000428599,ENST00000524630,ENST00000525902,ENST00000526357,ENST00000526772,ENST00000527467,ENST00000528232,ENST00000528621,ENST00000529526,ENST00000529873,ENST00000529919,ENST00000529986,ENST00000530094,ENST00000530748,ENST00000531007,ENST00000531014,ENST00000532245,ENST00000532463,ENST00000532649,ENST00000532787,ENST00000532844,ENST00000533667,ENST00000534579,ENST00000673683,ENST00000673781,ENST00000673810,ENST00000673826,ENST00000674015,ENST00000674060,ENST00000674106,ENST00000674116,ENST00000682621,ENST00000683201,ENST00000683769"
